username, created_at, lng, lat, text
gailXOXO19, Sat Apr 18 05:52:50 +0000 2020, -73.483168, 40.750449, @GothAngel666_ @thatgurlxo @awkwardgoogle What do you mean? 
msgbaloo, Sat Apr 18 05:52:50 +0000 2020, -121.250664, 38.805335, https://t.co/iwLh5yjUaF 
TJRamini, Sat Apr 18 05:52:50 +0000 2020, -118.480420, 34.022688, @Gaohmee 😄😄 Definitely! That’s kinda why I started making these videos - to do some lovely baking but also to reach… https://t.co/Dk53zKKxKb 
test5geo1798, Sat Apr 18 05:52:50 +0000 2020, -118.411907, 34.020789, TEST_GEO_Hierarchy: 6b58bda6-ace2-41c4-96b8-0a7ea953af44 
test5geo1798, Sat Apr 18 05:52:50 +0000 2020, -119.306608, 37.269176, TEST_GEO_Hierarchy: 51d6953b-1157-45ef-bd27-903248f85d70 
Ttemi_G, Sat Apr 18 05:52:50 +0000 2020, -79.272570, 43.629311, Deleting this app ... https://t.co/PBE64OFpg2 
TariqAnwar00, Sat Apr 18 05:52:50 +0000 2020, -75.800141, 45.248791, @coolcatmum Every song on this record is perfect and I expect nothing less. 
JeffLoVecchio, Sat Apr 18 05:52:50 +0000 2020, -90.581249, 38.651687, @Jbehnen876 @stoolpresidente @8pm Hahahahahahahaha that may have taken the cake if it was on time 
Khristen, Sat Apr 18 05:52:50 +0000 2020, -73.948775, 40.655138, @Krystina_Death i need it 
SvtBryan, Sat Apr 18 05:52:50 +0000 2020, -121.827167, 37.367500, @elplebeJr_20 That whine gonna be louder soon 
dreaelizabethh, Sat Apr 18 05:52:50 +0000 2020, -117.363067, 34.531222, @nyaduothg girl it's sending me too!!!! I can't believe i cant find anyone!!! 
jonirobuck, Sat Apr 18 05:52:50 +0000 2020, -82.319859, 28.799290, In my opinion the Greatest President period! 
chuchibean, Sat Apr 18 05:52:51 +0000 2020, -81.633705, 38.347486, to baby boy from anonymous 👉🏼👈🏼💋 https://t.co/Ko6dInERN9 
spencerkim25, Sat Apr 18 05:52:51 +0000 2020, -117.789005, 33.890425, natural selection (noun): the process whereby organisms better adapted to their environment tend to survive and pro… https://t.co/RW53tCLFNK 
iangabrielvista, Sat Apr 18 05:52:51 +0000 2020, -118.113076, 33.844650, Ang qt ng “guess the gibberish” game sa IG tila tayo tanga. 
Surge_Yo, Sat Apr 18 05:52:51 +0000 2020, -105.017787, 39.596849, "Constant support, structure and trust is what makes a sanctuary." 
Tabasco08, Sat Apr 18 05:52:51 +0000 2020, -82.985772, 39.994684, Tryna lay up and watch internet videos with someone. Joe Pera reminded me how great it is 
monimcdreamy, Sat Apr 18 05:52:51 +0000 2020, -118.068689, 33.866965, Men 🙄 
briannarobillos, Sat Apr 18 05:52:51 +0000 2020, -123.122401, 44.065621, @juzjulian @k_wubzz this will happen to your face https://t.co/8y7zGZEaOe 
smlungpathguy, Sat Apr 18 05:52:51 +0000 2020, -81.463848, 41.476764, @TanMohammedMD @MedTweetorials @hochhegger @farouk_dako @WuMarkusY @JeffreyKanneMD @jonherochung @lameliav Thank you! 
fuckriqo, Sat Apr 18 05:52:51 +0000 2020, -117.462698, 34.108160, bianca telling sum1 “shut the fuck up” in that soft ass voice 😂😂😂😂 
essayhughes, Sat Apr 18 05:52:52 +0000 2020, -79.980689, 40.431389, @VictoriaCot I felt the, “I’ve done nothing for x days,” with my migraines the last week or two. I had a woman inte… https://t.co/m79LeZhk8R 
e_munson, Sat Apr 18 05:52:52 +0000 2020, -73.968542, 40.780709, Me whenever @NickInTheBacks shaves his beard clean off https://t.co/KO2aL5cDi1 
montbranman214, Sat Apr 18 05:52:52 +0000 2020, -96.835249, 33.150140, Quarantine got joe buck wildin 
holymothermaryy, Sat Apr 18 05:52:52 +0000 2020, -119.306608, 37.269176, Lmao how are you going to have the audacity to try and insult me. When you haven’t even had a job, house, car, or a… https://t.co/w2mSS8yXYC 
goodell2017, Sat Apr 18 05:52:52 +0000 2020, -119.175940, 46.199292, @Mystime For myself washable if I can find one, in Washington State we are all to wear one where we buy our food or get our prescriptions. 
jennabellaaa_, Sat Apr 18 05:52:52 +0000 2020, -81.402347, 28.299371, Lowkey praying for it. 
SmakyCEO, Sat Apr 18 05:52:53 +0000 2020, -88.121338, 30.761014, @_slimarella_ U damn right 
SoyRomas, Sat Apr 18 05:52:53 +0000 2020, -100.588311, 25.333175, @Fersingis 😥 
Rico_ThaShooter, Sat Apr 18 05:52:53 +0000 2020, -81.705467, 41.495940, TL sleep? Good kause I’m making my ass eating debut soon! 😭😭 
LuckyD___, Sat Apr 18 05:52:53 +0000 2020, -75.117998, 40.004866, I’m the last person to call if you’re in trouble my phone stay on DND sadly. 
pimpaleee, Sat Apr 18 05:52:53 +0000 2020, -100.076888, 31.168893, @dayaa2x yes i do , cum here 
WILCO19561, Sat Apr 18 05:52:53 +0000 2020, -86.791549, 36.200008, @SistahScholar @Yankeegal11 *fomenting 
cbrookks, Sat Apr 18 05:52:53 +0000 2020, -95.446486, 29.838495, I miss underage drinking :/ https://t.co/kuL9N62RXj 
skoopjones, Sat Apr 18 05:52:53 +0000 2020, -81.520478, 41.588460, @BIGFIFAYONES https://t.co/zHWVrYPMh6 
jade_carpenterw, Sat Apr 18 05:52:53 +0000 2020, -119.827182, 39.512436, Well now I low key feel like shit🤢 
Just__PHILIPPE, Sat Apr 18 05:52:53 +0000 2020, -74.245455, 40.624274, Sangria 🤸🏿‍♀️ 
_BitchTheWitch, Sat Apr 18 05:52:53 +0000 2020, -76.355918, 36.841764, So Niggas Freely Posting Dick Pics On This App Now ??? Yeah Imma Head Out 
pricilasan30, Sat Apr 18 05:52:53 +0000 2020, -96.761753, 32.819858, fuck 2020 take me back to 2019 when selena dropped lose u to love me 😔 
ginnn_xx, Sat Apr 18 05:52:53 +0000 2020, -80.846785, 35.209059, Capriccio= hangover I already know 🥴 
Yoontopian93, Sat Apr 18 05:52:54 +0000 2020, -115.133373, 36.249124, Oh shit.. 
MikeyCasey3, Sat Apr 18 05:52:54 +0000 2020, -81.589647, 40.027001, Don’t “see one send one” if you’re a put to take 14.8 seconds to down a 12oz beer 
LindaLy16390781, Sat Apr 18 05:52:54 +0000 2020, -76.176920, 42.599418, @AdamJerro @lexhamrealty @latimes Get them legal 
lettyyy_g, Sat Apr 18 05:52:54 +0000 2020, -115.548036, 32.774585, https://t.co/87n1Mz7yn4 
foreverfatima22, Sat Apr 18 05:52:54 +0000 2020, -118.248063, 33.839612, NENNAAAAA 😂😂🥵💀 
LovingRandy_, Sat Apr 18 05:52:54 +0000 2020, -73.968542, 40.780709, invest in your happiness 
jordailynn, Sat Apr 18 05:52:54 +0000 2020, -95.446486, 29.838495, not indulging if it doesn’t benefit me 
JoshieWashie, Sat Apr 18 05:52:54 +0000 2020, -115.223125, 36.232915, @GolnesaGG has really grown those season (I feel like I tweet this every season since season 1) #growth #Shahs #ShahsofSunset 
jaasmineperez, Sat Apr 18 05:52:54 +0000 2020, -121.967821, 37.370990, des puz seed hoe 
ansiiboy, Sat Apr 18 05:52:54 +0000 2020, -118.068689, 33.866965, @andflrs_ @chedxcx Have you ever seen me without this stupid hat on? That's weird. https://t.co/Fj8eCtBNlJ 
rawkale_, Sat Apr 18 05:52:54 +0000 2020, -98.245675, 26.240690, 😍❤️ 
brown_birds, Sat Apr 18 05:52:54 +0000 2020, -91.090800, 30.459100, I’ve been thinking ab this kinda thing a lot. For me answer is yes, but the edu i had in undergrad at a top public… https://t.co/74A4t8fItX 
RASHAUNALRAFI, Sat Apr 18 05:52:55 +0000 2020, -84.475291, 33.657586, https://t.co/DMUfqA4NGO 
__livindalife, Sat Apr 18 05:52:55 +0000 2020, -77.014398, 38.898603, @TSimone_ I need to finish it 
a_ndrewmoore, Sat Apr 18 05:52:55 +0000 2020, -115.133373, 36.249124, @anabxnillas @intrnetboy ANA GIVE ME MY FUCKING MEME BACK WTF??? 
trawww_d, Sat Apr 18 05:52:55 +0000 2020, -106.632718, 35.117002, Good they’re getting what they deserve. 
Anderson8372, Sat Apr 18 05:52:55 +0000 2020, -94.182162, 42.507058, @pulte https://t.co/Ho91MmCj35Help! 
haleynashhh, Sat Apr 18 05:52:55 +0000 2020, -97.135638, 32.701850, @baarbiegrl somehow this vision is still immaculate 😩 
iRadRock, Sat Apr 18 05:52:55 +0000 2020, -77.604684, 41.117936, @Tabaza @jcgeorgemd @fischman_david @wordfinga @BoggildLab @CardiacPA1 @fitmslax @jointdocShields @mymomthesurgeon… https://t.co/kJOXIFS4cy 
Conquer_Crew, Sat Apr 18 05:52:55 +0000 2020, -120.475890, 46.557620, Better late than never😉keeks_09 scores a Conquer duffle bag!  AND extra style points for rockin'' Conquer gear wh… https://t.co/EBeTCj4ZtE 
SkyMyGuy, Sat Apr 18 05:52:55 +0000 2020, -97.285913, 32.779967, Remember, you're better than you think 
MomishAf, Sat Apr 18 05:52:55 +0000 2020, -71.088712, 42.313670, @Deasmom @YouTube 🥰🥰 
playboybartende, Sat Apr 18 05:52:55 +0000 2020, -117.294096, 34.134925, So if the @MLS does a 50% game schedule. Will the players union protest? 
ChristaKnwsBest, Sat Apr 18 05:52:55 +0000 2020, -95.990175, 30.083158, We also got you sis 💗 
D1__Dre, Sat Apr 18 05:52:55 +0000 2020, -80.207263, 25.944446, https://t.co/rbtBKBygcE 
DearVerenisee, Sat Apr 18 05:52:56 +0000 2020, -97.477426, 25.972106, ❤️ 
PatrickQuinnTV, Sat Apr 18 05:52:56 +0000 2020, -122.330602, 47.614817, @TammyKOMO @komonews So...no? 
TheSydneyCoffee, Sat Apr 18 05:52:56 +0000 2020, -82.442694, 27.996595, I’m on episode 1 of #TooHotTooHandle and so far Harry and Kelz can have all of me no question https://t.co/oj9zZHoU6p 
mirandastyles55, Sat Apr 18 05:52:56 +0000 2020, -82.929418, 42.376424, So this little dirty blonde girl is trying to kill Marty and I’m confused tbh 
wordman54, Sat Apr 18 05:52:56 +0000 2020, -96.734900, 33.061243, @sheri_lynn95252 yw and mutual Sheri Lynn, be safe and well 
laura_beth68, Sat Apr 18 05:52:56 +0000 2020, -89.123967, 38.576433, @charliekirk11 Another ass kissing asshole!! Yea!!! 
dianawut, Sat Apr 18 05:52:56 +0000 2020, -117.462698, 34.108160, Not me being overly sensitive rn 
kt_______, Sat Apr 18 05:52:56 +0000 2020, -95.446486, 29.838495, Gorillas really be funny af 
AbbyPfaff, Sat Apr 18 05:52:56 +0000 2020, -97.135638, 32.701850, and finally, i went back to red. because it’s a classic. and it’s what i always go back to. FIN. https://t.co/u7HjswIjYs 
TajDarielle, Sat Apr 18 05:52:57 +0000 2020, -80.122619, 26.721896, None 
rtwic888, Sat Apr 18 05:52:56 +0000 2020, -123.123581, 49.257639, Well - They're Getting the 'Justice' Part - After They Used Their 'Freedom' -  To Murder Jews; So the Prisoners Got… https://t.co/ZvE20LJQR6 
Kopfjager_, Sat Apr 18 05:52:57 +0000 2020, -106.417430, 31.793368, If you are getting haircuts  or shaving your mustache during the quarantine you’re a FKN square 
kendalbruce_, Sat Apr 18 05:52:57 +0000 2020, -118.411907, 34.020789, I plan on winning 
valleylemon, Sat Apr 18 05:52:57 +0000 2020, -98.000235, 26.176961, life was good when every club played te bote a million times 
TheTalentedMrA, Sat Apr 18 05:52:57 +0000 2020, -118.411907, 34.020789, @PrincessDeeanaa https://t.co/c9QGiq6H1d 
JamesL0307, Sat Apr 18 05:52:57 +0000 2020, -98.319925, 38.498196, What's the most famous person you've had an interaction with on Twitter? 
SnazzySuccubus, Sat Apr 18 05:52:57 +0000 2020, -111.880874, 33.282450, @TekufusRevenge We onto bigger, better things 
Derick74345600, Sat Apr 18 05:52:57 +0000 2020, -108.574616, 39.091751, Sir I need a sit down with you Mr. President. 
Itshoel1234, Sat Apr 18 05:52:57 +0000 2020, -100.076888, 31.168893, What’s the reason for June bugs smh it’s not even June 
rtwic888, Sat Apr 18 05:52:56 +0000 2020, -123.123581, 49.257639, Well - They're Getting the 'Justice' Part - After They Used Their 'Freedom' -  To Murder Jews; So the Prisoners Got… https://t.co/ZvE20LJQR6 
crawfordsjonah, Sat Apr 18 05:52:57 +0000 2020, -86.145320, 39.583039, @HessasAngels i accepted it 
2nuff4u, Sat Apr 18 05:52:57 +0000 2020, -82.368322, 27.998056, So some of the babies probably died on the way back home or right after birth?! This man was PSYCHOTIC 🤢… https://t.co/LR5o9brDZD 
JaniceW59620507, Sat Apr 18 05:52:58 +0000 2020, -83.173867, 32.678207, Any woman in this woeld e got them with her.Who to trust at a time like this he got themw.oth Middlebrroks eachlast… https://t.co/E1eQa7VQOP 
SuperJusticeGuy, Sat Apr 18 05:52:58 +0000 2020, -76.797222, 39.421988, Scrap. https://t.co/dfU3nxE5Yr 
swberk, Sat Apr 18 05:52:58 +0000 2020, -93.202438, 44.746673, @Chris_Hawkey Chris Hawkey I love you buy once the economy is destroyed our lifestyle that we enjoy will be gone. I… https://t.co/cPMwJh4YDH 
laura8am, Sat Apr 18 05:52:58 +0000 2020, -111.498181, 28.969863, Pero que acabo de ver 
rat___fink, Sat Apr 18 05:52:58 +0000 2020, -96.696562, 40.803235, “You’re not even an actor, you’re a haircut” is perhaps the most underrated line from television. I want to be a cr… https://t.co/sLDsoJbRqF 
anacristinahm, Sat Apr 18 05:52:58 +0000 2020, -111.498181, 28.969863, @mr_brightsidee0 @mazap4n Ni pestañas amiga 🥺 
jakelly64, Sat Apr 18 05:52:58 +0000 2020, -111.712862, 40.339376, @camden52801 Bitch can’t even spell 
linnxvo, Sat Apr 18 05:52:58 +0000 2020, -116.941950, 33.729481, @gemvls @__donovan23 https://t.co/CuWUJ24ChY 
pietrozna, Sat Apr 18 05:52:58 +0000 2020, -118.411907, 34.020789, jogar ludo tb serve 
mella_cej, Sat Apr 18 05:52:59 +0000 2020, -75.226986, 43.119680, @itslivtino OH, i aint see the not 
ElyssaBenavides, Sat Apr 18 05:52:59 +0000 2020, -100.076888, 31.168893, Introduced my mom to @Spotify and now all I hear is all sorts of music full blast from her room 😂 
officially_nika, Sat Apr 18 05:52:59 +0000 2020, -89.876449, 32.571032, Wtf🤣 
KingJay601, Sat Apr 18 05:52:59 +0000 2020, -91.090800, 30.459100, https://t.co/C80Vi75VmS 
